Date,Children apprehended and placed in CBP custody*,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care,Month,Transfer_Efficiency,Discharge_Effectiveness,Transfer_to_Discharge_Ratio,HHS_Care_Load_Ratio,Pipeline_Throughput,Transfer_Backlog,Day_Type,Alert,Rolling_Transfer_Efficiency,Rolling_Discharge_Effectiveness,Stagnation_Flag,Stagnation_Period
2023-01-12,33.0,53.0,34.0,6566,436.0,2023-01,0.6415094339622641,0.06640268047517514,0.0779816513761468,0.9377320765495573,6.507462686567164,19.0,Weekday,Normal,,,0,
2023-01-22,32.0,49.0,39.0,7122,227.0,2023-01,0.7959183673469388,0.031873069362538614,0.17180616740088106,0.9691114437338414,3.1971830985915495,10.0,Weekend,Normal,,,0,
2023-01-23,32.0,50.0,39.0,7280,181.0,2023-01,0.78,0.02486263736263736,0.2154696132596685,0.9757405173569227,2.5492957746478875,11.0,Weekday,Normal,,,0,
2023-01-24,47.0,42.0,47.0,7433,175.0,2023-01,1.119047619047619,0.023543656666218216,0.26857142857142857,0.9769978969505784,1.8617021276595744,-5.0,Weekday,Normal,,,0,
2023-01-25,20.0,22.0,41.0,7538,180.0,2023-01,1.8636363636363635,0.02387901300079597,0.22777777777777777,0.9766778958279347,2.9508196721311477,-19.0,Weekday,Normal,,,0,
2023-01-29,23.0,45.0,11.0,7472,303.0,2023-01,0.24444444444444444,0.04055139186295503,0.036303630363036306,0.9610289389067525,8.911764705882353,34.0,Weekend,Warning,,,1,
2023-01-30,34.0,54.0,29.0,7743,196.0,2023-01,0.5370370370370371,0.025313186103577426,0.14795918367346939,0.9753117521098376,3.111111111111111,25.0,Weekday,Normal,0.8545133236392382,0.03377509069055682,0,1.0
2023-01-31,26.0,36.0,36.0,7803,158.0,2023-01,1.0,0.020248622324746893,0.22784810126582278,0.9801532470795127,2.5483870967741935,0.0,Weekday,Normal,0.905726261644629,0.027181653811924215,0,1.0
2023-02-01,25.0,32.0,27.0,7903,231.0,2023-02,0.84375,0.029229406554472984,0.11688311688311688,0.9716006884681584,4.4423076923076925,5.0,Weekday,Normal,0.9125593520236378,0.02680398769648627,0,1.0
2023-02-02,15.0,13.0,23.0,7879,298.0,2023-02,1.7692307692307692,0.03782205863688285,0.07718120805369127,0.963556316497493,7.842105263157895,-10.0,Weekday,Normal,1.053878033342319,0.028655333592807055,0,1.0
2023-02-05,16.0,18.0,15.0,7586,342.0,2023-02,0.8333333333333334,0.04508304771948326,0.043859649122807015,0.95686175580222,11.03225806451613,3.0,Weekend,Normal,1.013061706811707,0.0317323894575592,0,1.0
2023-02-06,11.0,22.0,12.0,7720,196.0,2023-02,0.5454545454545454,0.02538860103626943,0.061224489795918366,0.9752400202122284,8.521739130434783,10.0,Weekday,Normal,0.8247500185000184,0.03194804489119827,0,1.0
2023-02-07,16.0,20.0,20.0,7855,200.0,2023-02,1.0,0.025461489497135583,0.1,0.9751707014276847,5.555555555555555,0.0,Weekday,Normal,0.9326865264365265,0.02979234455322406,0,0.0
2023-02-08,93.0,196.0,169.0,7915,317.0,2023-02,0.8622448979591837,0.04005053695514845,0.5331230283911672,0.9614917395529641,1.2099236641221374,27.0,Weekday,Normal,0.9791447922825472,0.03189768038916278,0,0.0
2023-02-09,124.0,234.0,161.0,7908,353.0,2023-02,0.688034188034188,0.044638340920586744,0.45609065155807366,0.9572690957511197,1.2385964912280703,73.0,Weekday,Normal,0.9345782477160027,0.03538192590285418,0,0.0
2023-02-12,92.0,203.0,173.0,7434,317.0,2023-02,0.8522167487684729,0.042641915523271456,0.5457413249211357,0.9591020513482131,1.1962264150943396,30.0,Weekend,Normal,0.9357877832543561,0.037297998612682536,0,0.0
2023-02-13,186.0,259.0,172.0,7483,244.0,2023-02,0.6640926640926641,0.03260724308432447,0.7049180327868853,0.9684224149087615,0.6815642458100558,87.0,Weekday,Normal,0.7779109110917697,0.036553024962317056,0,0.0
2023-02-14,154.0,225.0,220.0,7794,223.0,2023-02,0.9777777777777777,0.02861175263022838,0.9865470852017937,0.9721841087688662,0.5962566844919787,5.0,Weekday,Normal,0.7985458317266902,0.03419998280670922,0,0.0
2023-02-15,91.0,199.0,172.0,7869,290.0,2023-02,0.864321608040201,0.036853475663997964,0.593103448275862,0.9644564284838828,1.102661596958175,27.0,Weekday,Normal,0.8440982692389268,0.035837822039241865,0,0.0
2023-02-16,81.0,213.0,153.0,7793,361.0,2023-02,0.7183098591549296,0.046323623764917235,0.42382271468144045,0.9557272504292372,1.5427350427350428,60.0,Weekday,Normal,0.8038568205467739,0.03881812693463924,0,0.0
2023-02-20,209.0,285.0,184.0,7817,209.0,2023-02,0.6456140350877193,0.02673659971856211,0.8803827751196173,0.9739596311986045,0.5318066157760815,101.0,Weekday,Normal,0.772909554422279,0.036916135900841196,0,0.0
2023-02-21,184.0,314.0,217.0,7967,213.0,2023-02,0.6910828025477707,0.02673528304255052,1.0187793427230047,0.973960880195599,0.5311720698254364,97.0,Weekday,Normal,0.7733450707813622,0.034358556203978874,0,0.0
2023-02-22,107.0,215.0,230.0,7978,232.0,2023-02,1.069767441860465,0.029079969917272498,0.9913793103448276,0.971741778319123,0.6884272997032641,-15.0,Weekday,Normal,0.8044237412230755,0.03242113540312188,0,0.0
2023-02-23,101.0,162.0,178.0,7914,386.0,2023-02,1.0987654320987654,0.04877432398281526,0.46113989637305697,0.9534939759036145,1.3835125448028673,-16.0,Weekday,Normal,0.8665198509382327,0.03473071838862057,0,0.0
2023-02-26,99.0,190.0,176.0,7609,323.0,2023-02,0.9263157894736842,0.04244973058220528,0.544891640866873,0.9592788703983863,1.1745454545454546,14.0,Weekend,Normal,0.8591681383233621,0.03670757238176013,0,0.0
2023-02-27,167.0,239.0,166.0,7800,248.0,2023-02,0.694560669456067,0.031794871794871796,0.6693548387096774,0.9691848906560636,0.7447447447447447,73.0,Weekday,Normal,0.8349165756684859,0.03598491468617067,0,0.0
2023-02-28,115.0,216.0,169.0,7896,200.0,2023-02,0.7824074074074074,0.025329280648429583,0.845,0.9752964426877471,0.704225352112676,47.0,Weekday,Normal,0.8440733682759827,0.03298572281238672,0,0.0
2023-03-01,84.0,158.0,193.0,7930,307.0,2023-03,1.2215189873417722,0.03871374527112232,0.6286644951140065,0.9627291489620007,1.108303249097473,-35.0,Weekday,Normal,0.926345504312276,0.034696743605609606,0,0.0
2023-03-02,130.0,227.0,192.0,7870,335.0,2023-03,0.8458149779735683,0.042566709021601014,0.573134328358209,0.9591712370505789,1.0403726708074534,35.0,Weekday,Normal,0.9484501008016757,0.03695837588833111,0,0.0
2023-03-07,88.0,214.0,160.0,7859,259.0,2023-03,0.7476635514018691,0.03295584679984731,0.6177606177606177,0.9680955900468096,1.0443548387096775,54.0,Weekday,Normal,0.9024352593075905,0.03751207258584179,0,0.0
2023-03-08,113.0,208.0,159.0,7885,291.0,2023-03,0.7644230769230769,0.03690551680405834,0.5463917525773195,0.964408023483366,1.0698529411764706,49.0,Weekday,Normal,0.8546720657110637,0.03581652870316223,0,0.0
2023-03-09,174.0,285.0,150.0,7786,340.0,2023-03,0.5263157894736842,0.043668122270742356,0.4411764705882353,0.9581589958158996,1.0493827160493827,135.0,Weekday,Normal,0.7975292085682064,0.035990584658667536,0,0.0
2023-03-13,104.0,230.0,206.0,7567,249.0,2023-03,0.8956521739130435,0.032906039381525046,0.8273092369477911,0.9681422722620266,0.8032258064516129,24.0,Weekday,Normal,0.8262565663477746,0.036149322885332284,0,0.0
2023-03-14,147.0,276.0,214.0,7810,181.0,2023-03,0.7753623188405797,0.023175416133162614,1.1823204419889504,0.977349518207984,0.5013850415512465,62.0,Weekday,Normal,0.825250125123942,0.035841627954579854,0,0.0
2023-03-15,108.0,220.0,213.0,7915,286.0,2023-03,0.9681818181818181,0.0361339229311434,0.7447552447552448,0.9651262041214486,0.8909657320872274,7.0,Weekday,Normal,0.7890591009582343,0.03547308190601144,0,0.0
2023-03-16,180.0,280.0,146.0,7989,308.0,2023-03,0.5214285714285715,0.03855301038928527,0.474025974025974,0.9628781487284561,0.9447852760736196,134.0,Weekday,Normal,0.7427181857375204,0.03489969638710919,0,0.0
2023-03-19,134.0,294.0,186.0,7885,306.0,2023-03,0.6326530612244898,0.03880786303107166,0.6078431372549019,0.962641924062996,0.95625,108.0,Weekend,Normal,0.7262881157121804,0.03573569870585552,0,0.0
